Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
11/07/2022,CHIPOTLE 1829 0000  NEW YORK            NY,11.92,"013285      303-595-4000
CHIPOTLE 1829 0000
NEW YORK
NY
Description : FAST FOOD RESTAURAN Price : 0.00
303-595-4000",CHIPOTLE 1829 0000  NEW YORK            NY,604 2ND AVE,"NEW YORK
NY",10016-4859,UNITED STATES,'320223120589229158',Restaurant-Bar & Café
11/07/2022,FRENCH BEE SAN FRANCSAN FRANCISCO,481.78,"39624013096 0 825 205 205
PASSENGER TICKET
FRENCH BEE SAN FRANCISCO
SAN FRANCISCO
Carrier : FRENCH BEE
Passenger Name : KUMAR/AVIRATH
Ticket Number : 3962401309602
Departure Day : 12/02
Additional Info : PASSENGER TICKET
From : N.Y. NEWARK INTL A
To : PARIS ORLY APT
Class : N
From : PARIS ORLY APT
To : N.Y. NEWARK INTL A
Class : N",FRENCH BEE SAN FRANCSAN FRANCISCO,"""ACTIPOLE 85, BELLEVILLE-SUR-VIE""
BELLEVIGNY",,85170,FRANCE,'320223110555416637',Travel-Airline
11/07/2022,RYANAIR LTD AIRLINE DUBLIN              IR,78.71,"HLCZNR__889 WWW.RYANAIR.COM
PASSENGER TICKET
RYANAIR LTD AIRLINE
DUBLIN
IR
Carrier : RYANAIR
Passenger Name : KUMAR/AVIRATH MR
Ticket Number : HLCZNR
Departure Day : 12/08
Additional Info : PASSENGER TICKET
From : BARCELONA
To : MALAGA
Class : C",RYANAIR LTD AIRLINE DUBLIN              IR,"AIRSIDE BUSINESS PARK
SWORDS
DUBLIN",,6,IRELAND,'320223120591075857',Travel-Airline
11/07/2022,TRANSAVIA FRANCE S.APARAY-VIEILLE-POSTE FR,45.35,"WFM9NN_9886 DUTY-FREE STORE
PASSENGER TICKET
TRANSAVIA FRANCE S.A.S.
PARAY-VIEILLE-POSTE
FR
Carrier : Transavia
Passenger Name : Kumar/Avirath
Ticket Number : WFM9NN
Departure Day : 12/10
Additional Info : PASSENGER TICKET
From : MALAGA
To : PARIS ORLY APT
Class : TForeign Spend Amount: 45.61 EURO Commission Amount:  Currency Exchange Rate: null",TRANSAVIA FRANCE S.APARAY-VIEILLE-POSTE FR,"ZONE ORLYTECH
3 ALLEE HELENE BOUCHER
BATIMENT 524
WISSOUS CEDEX",,91781,FRANCE,'320223110571792008',Travel-Airline
11/07/2022,TRANSAVIA FRANCE S.APARAY-VIEILLE-POSTE FR,49.38,"O4B2XR_9886 DUTY-FREE STORE
PASSENGER TICKET
TRANSAVIA FRANCE S.A.S.
PARAY-VIEILLE-POSTE
FR
Carrier : Transavia
Passenger Name : Kumar/Avirath
Ticket Number : O4B2XR
Departure Day : 12/05
Additional Info : PASSENGER TICKET
From : PARIS ORLY APT
To : BARCELONA
Class : TForeign Spend Amount: 49.66 EURO Commission Amount:  Currency Exchange Rate: null",TRANSAVIA FRANCE S.APARAY-VIEILLE-POSTE FR,"ZONE ORLYTECH
3 ALLEE HELENE BOUCHER
BATIMENT 524
WISSOUS CEDEX",,91781,FRANCE,'320223110571760883',Travel-Airline
11/06/2022,OFF THE WAGON 924600NEW YORK            NY,21.60,"73011002310 OFFTHEWAGON@NYCBESTBA
OFFTHEWAGON@NYCBESTBARS.C
OFF THE WAGON 924600283036142
NEW YORK
NY
OFFTHEWAGON@NYCBESTBARS.C",OFF THE WAGON 924600NEW YORK            NY,109 MACDOUGAL ST,"NEW YORK
NY",10012,UNITED STATES,'320223100552560313',Restaurant-Restaurant
11/05/2022,3 SHEETS 92460028303NEW YORK            NY,224.27,"73011002310 3SHEETSSALOON@NYCBEST
3SHEETSSALOON@NYCBESTBARS
3 SHEETS 924600283036118
NEW YORK
NY
3SHEETSSALOON@NYCBESTBARS",3 SHEETS 92460028303NEW YORK            NY,134 WEST 3RD ST,"NEW YORK
NY",10012,UNITED STATES,'320223100553281513',Restaurant-Restaurant
11/05/2022,D J*WALL-ST-JOURNAL 800-568-7625        MA,14.99,"U1,GAIL,43  SUBSCRIPTION
D J*WALL-ST-JOURNAL
800-568-7625
MA
SUBSCRIPTION",D J*WALL-ST-JOURNAL 800-568-7625        MA,"84 SECOND AVE
-","CHICOPEE
MA",01020,UNITED STATES,'320223090519415419',Merchandise & Supplies-Mail Order
11/05/2022,PEACOCK*X5901 PREMIUNEW YORK CITY       NY,1.99,"US NBCU PG  CABLE & PAY TV
PEACOCK*X5901 PREMIUM
NEW YORK CITY
NY
CABLE & PAY TV",PEACOCK*X5901 PREMIUNEW YORK CITY       NY,100 UNIVERSAL CITY PLZ,"UNIVERSAL CITY
CA",91608,UNITED STATES,'320223090531068133',Communications-Cable & Internet Comm
11/05/2022,TST* OSTRICA 3006001NEW YORK            NY,220.02,"99999992309 9174091704
TST* OSTRICA 300600126
NEW YORK
NY
Description : RESTAURANTS Price : 2.2002
9174091704",TST* OSTRICA 3006001NEW YORK            NY,530 2ND AVE,"NEW YORK
NY",10016-8207,UNITED STATES,'320223090522881068',Other-Miscellaneous
