Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
10/08/2022,AplPay DUNKIN #35830TROY                MI,11.63,"22081853461 630-674-5912
AplPay DUNKIN #358300
TROY
MI
Description : FAST FOOD RESTAURAN Price : 0.00
630-674-5912",AplPay DUNKIN #35830TROY                MI,2969 EAST BIG BEAVER RD,"TROY
MI",48083,UNITED STATES,'320222820921617165',Restaurant-Bar & Café
10/07/2022,ROYAL INDIAN CUISINETROY                MI,78.61,"10156320221 2487430223
ROYAL INDIAN CUISINE 650000009919468
TROY
MI",ROYAL INDIAN CUISINETROY                MI,3877 ROCHESTER RD,"TROY
MI",48083,UNITED STATES,'320222810886087760',Restaurant-Restaurant
10/06/2022,KROGER #757 00000075STERLING HEIG       MI,12.36,"99999992279 8666111979
KROGER #757 000000757
STERLING HEIG
MI
Description : GROCERY STORES Price : 0.1236
8666111979",KROGER #757 00000075STERLING HEIG       MI,2051 18 MILE RD,"STERLING HEIGHTS
MI",48314,UNITED STATES,'320222800875713525',Merchandise & Supplies-Groceries
10/05/2022,AMAZON MARKEPLACE NA PA,21.15,"2395J478I2N BOOK STORES
AMZN MKTP US*1K9WX0ZW0
AMZN.COM/BILL
WA
BOOK STORES",AMZN MKTP US*1K9WX0ZAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320222790851208162',Merchandise & Supplies-Internet Purchase
10/05/2022,D J*WALL-ST-JOURNAL 800-568-7625        MA,12.99,"U1,FKZR,7T  SUBSCRIPTION
D J*WALL-ST-JOURNAL
800-568-7625
MA
SUBSCRIPTION",D J*WALL-ST-JOURNAL 800-568-7625        MA,"84 SECOND AVE
-","CHICOPEE
MA",01020,UNITED STATES,'320222780822806114',Merchandise & Supplies-Mail Order
10/05/2022,KROGER #757 00000075STERLING HEIG       MI,13.07,"99999992278 8666111979
KROGER #757 000000757
STERLING HEIG
MI
Description : GROCERY STORES Price : 0.1307
8666111979",KROGER #757 00000075STERLING HEIG       MI,2051 18 MILE RD,"STERLING HEIGHTS
MI",48314,UNITED STATES,'320222790856901496',Merchandise & Supplies-Groceries
10/05/2022,PEACOCK*48E37 PREMIUNEW YORK CITY       NY,1.99,"######2E3iD CABLE & PAY TV
PEACOCK*48E37 PREMIUM
NEW YORK CITY
NY
CABLE & PAY TV",PEACOCK*48E37 PREMIUNEW YORK CITY       NY,100 UNIVERSAL CITY PLZ,"UNIVERSAL CITY
CA",91608,UNITED STATES,'320222780828622647',Communications-Cable & Internet Comm
10/04/2022,LEBANESE GRILL      TROY                MI,51.94,"03XJVD4RWVW 2485261444
LEBANESE GRILL
TROY
MI
2485261444",LEBANESE GRILL      TROY                MI,1600 ROCHESTER RD,"TROY
MI",48083,UNITED STATES,'320222780831885667',Restaurant-Restaurant
10/03/2022,HAPPY HEAD          LOS ANGELES         CA,79.00,"NT_MY37BRNF +18449624247
HAPPY HEAD
LOS ANGELES
CA
+18449624247",HAPPY HEAD          LOS ANGELES         CA,"11669 SANTA MONICA BLVD
SUITE 101","LOS ANGELES
CA",90025,UNITED STATES,'320222770812005959',Business Services-Health Care Services
10/01/2022,DELTA AIR LINES,5.60,"18002211212
ADDITIONAL COLLECTION
DELTA AIR LINES
ATLANTA
Carrier : DELTA AIR LINES
Passenger Name : KUMAR/AVIRATH
Ticket Number : 0060874731101
Additional Info : ADDITIONAL COLLECTION",DELTA AIR LINES     ATLANTA,ATLANTA AIRPORT,"ATLANTA
GA",30344,UNITED STATES,'320222740743767034',Travel-Airline
09/30/2022,AMZN MKTP US        AMZN.COM/BILL       WA,-95.39,"USGQ15VR9VU BOOK STORES
AMZN MKTP US
AMZN.COM/BILL
WA
BOOK STORES",AMZN MKTP US        AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320222730718791718',Merchandise & Supplies-Internet Purchase
09/30/2022,LITTLE CAESARS      MADISON HEIGHTS     MI,13.56,"00490200072 2485489191
LITTLE CAESARS
MADISON HEIGHTS
MI
Description : FAST FOOD REST. Price : 0.1356
2485489191",LITTLE CAESARS      MADISON HEIGHTS     MI,29205 DEQUINDRE RD,"MADISON HEIGHTS
MI",48071,UNITED STATES,'320222740740294366',Restaurant-Restaurant
09/29/2022,AMZN MKTP US        AMZN.COM/BILL       WA,-99.63,"4A3HMAY3H31 BOOK STORES
AMZN MKTP US
AMZN.COM/BILL
WA
BOOK STORES",AMZN MKTP US        AMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320222730722247906',Merchandise & Supplies-Internet Purchase
09/29/2022,KROGER              TROY                MI,26.06,"999999922728666111979
GROCERY STORES
KROGER
TROY
MI
GROCERY STORES
8666111979",KROGER              TROY                MI,"3125 JOHN R RD
STE A","TROY
MI",48083,UNITED STATES,'320222730721913679',Merchandise & Supplies-Groceries
09/29/2022,TACO BELL 033303 333MADISON HEIGH       MI,2.85,"23853       810-771-4500
TACO BELL 033303 3330
MADISON HEIGH
MI
Description : FAST FOOD RESTAURAN Price : 0.00
810-771-4500",TACO BELL 033303 333MADISON HEIGH       MI,32801 JOHN R RD,"MADISON HEIGHTS
MI",48071,UNITED STATES,'320222730711590557',Restaurant-Bar & Café
