Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
03/06/2023,Corporate Advantage Program,-100.00,"Annual Credit
Corporate Advantage Program",Corporate Advantage Program,,,,,'320230650271495596',Fees & Adjustments-Fees & Adjustments
03/06/2023,TACO BELL #24150 241TROY                MI,16.47,"0804700     248-879-5894
TACO BELL #24150 2415
TROY
MI
Description : FAST FOOD RESTAURAN Price : 0.00
248-879-5894",TACO BELL #24150 241TROY                MI,41167 DEQUINDRE RD,"TROY
MI",48085,UNITED STATES,'320230660280237325',Restaurant-Bar & Café
03/05/2023,PEACOCK*X2834 PREMIUNEW YORK CITY       NY,1.99,"US NBCU PG  CABLE & PAY TV
PEACOCK*X2834 PREMIUM
NEW YORK CITY
NY
CABLE & PAY TV",PEACOCK*X2834 PREMIUNEW YORK CITY       NY,100 UNIVERSAL CITY PLZ,"UNIVERSAL CITY
CA",91608,UNITED STATES,'320230640250134956',Communications-Cable & Internet Comm
03/02/2023,HAPPY HEAD          LOS ANGELES         CA,79.00,"NT_NSHRVWTI +18449624247
HAPPY HEAD
LOS ANGELES
CA
+18449624247",HAPPY HEAD          LOS ANGELES         CA,"11669 SANTA MONICA BLVD
SUITE 101","LOS ANGELES
CA",90025,UNITED STATES,'320230610181613186',Business Services-Health Care Services
03/02/2023,KROGER #757 00000075STERLING HEIG       MI,14.34,"999999930618666111979
GROCERY STORES
KROGER #757 000000757
STERLING HEIG
MI
GROCERY STORES
8666111979",KROGER #757 00000075STERLING HEIG       MI,2051 18 MILE RD,"STERLING HEIGHTS
MI",48314,UNITED STATES,'320230620202689373',Merchandise & Supplies-Groceries
02/28/2023,KROGER #757 00000075STERLING HEIG       MI,19.98,"99999993059 8666111979
KROGER #757 000000757
STERLING HEIG
MI
Description : GROCERY STORES Price : 0.1998
8666111979",KROGER #757 00000075STERLING HEIG       MI,2051 18 MILE RD,"STERLING HEIGHTS
MI",48314,UNITED STATES,'320230600154773392',Merchandise & Supplies-Groceries
02/27/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,2.99,"MLY7J0BZQSA RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,'320230580092935267',Merchandise & Supplies-Internet Purchase
02/27/2023,APPLE.COM/BILL      INTERNET CHARGE     CA,5.43,"MLY7HHBB4GA RECORD STORE
APPLE.COM/BILL
INTERNET CHARGE
CA
RECORD STORE",APPLE.COM/BILL      INTERNET CHARGE     CA,One Apple Park Way,"Cupertino
CA",95014,UNITED STATES,'320230580092124278',Merchandise & Supplies-Internet Purchase
02/25/2023,AMAZON MARKEPLACE NA PA,13.73,"5QQNGFL21FV BOOK STORES
AMAZON MARKETPLACE NA PA
AMZN.COM/BILL
WA
BOOK STORES",AMAZON MARKETPLACE NAMZN.COM/BILL       WA,410 TERRY AVE N,"SEATTLE
WA",98109,UNITED STATES,'320230560049560182',Merchandise & Supplies-Internet Purchase
02/21/2023,AUTOPAY PAYMENT - THANK YOU,-2124.48,AUTOPAY PAYMENT - THANK YOU,AUTOPAY PAYMENT - THANK YOU,,,,,'320230520955294520',
02/20/2023,D J*WALL-ST-JOURNAL 800-568-7625        MA,14.99,"U1,HVUS,L   SUBSCRIPTION
D J*WALL-ST-JOURNAL
800-568-7625
MA
SUBSCRIPTION",D J*WALL-ST-JOURNAL 800-568-7625        MA,"84 SECOND AVE
-","CHICOPEE
MA",01020,UNITED STATES,'320230510938172597',Merchandise & Supplies-Mail Order
02/20/2023,UBER,35.70,"D3B7V5GA   AQMC32JR         11371
Uber Trip
help.uber.com
CA
AQMC32JR         11371",Uber Trip           help.uber.com       CA,"1455 Market St 400
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320230510937259045',Transportation-Taxis & Coach
02/19/2023,AplPay A.NORDVPNUS*ANEW YORK            NY,11.99,"######HZgN4 COMPUTER STORE
AplPay A.NORDVPNUS*A.NORDVPN
NEW YORK
NY
COMPUTER STORE",AplPay A.NORDVPNUS*ANEW YORK            NY,630 15TH FLOOR THIRD AVE,"NEW YORK
NY",10017,UNITED STATES,'320230530979799290',Business Services-Employment Agencies
02/19/2023,AplPay BT*DD *DOORDASAN FRANCISCO       CA,25.71,"FFMTVP0X    8559731040
AplPay BT*DD *DOORDASH ESS-A-BAG
SAN FRANCISCO
CA
8559731040",AplPay BT*DD *DOORDASAN FRANCISCO       CA,303 2ND ST STE 800,"SAN FRANCISCO
CA",94107,UNITED STATES,'320230500915623719',Restaurant-Restaurant
