Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,City/State,Zip Code,Country,Reference,Category
01/09/2023,RENEWAL MEMBERSHIP FEE,250.00,RENEWAL MEMBERSHIP FEE,RENEWAL MEMBERSHIP FEE,,,,,'320230093000150147',Fees & Adjustments-Fees & Adjustments
01/08/2023,GRUBHUB*JUSTSALAD130NEW YORK            NY,21.07,"CKAH4W11    8775851085
GRUBHUB*JUSTSALAD13061
NEW YORK
NY
8775851085",GRUBHUB*JUSTSALAD130NEW YORK            NY,"111 W WASHINGTON ST
-","CHICAGO
IL",60602,UNITED STATES,'320230090002326554',Restaurant-Restaurant
01/07/2023,FAIRWAY MARKET OF KINEW YORK            NY,2.17,"817651     12               10016
FAIRWAY MARKET OF KI
NEW YORK
NY
12               10016",FAIRWAY MARKET OF KINEW YORK            NY,550 2ND AVE,"NEW YORK
NY",10016,UNITED STATES,'320230080992731014',Merchandise & Supplies-Groceries
01/07/2023,MK KARAOKE LLC 00-08NEW YORK            NY,180.43,"31099533007 RESTAURANT
MK KARAOKE LLC 00-08013953958
NEW YORK
NY
RESTAURANT",MK KARAOKE LLC 00-08NEW YORK            NY,"307 5TH AVE
FL 4","NEW YORK
NY",10016-6517,UNITED STATES,'320230080992625389',Restaurant-Restaurant
01/07/2023,MK KARAOKE LLC 00-08NEW YORK            NY,361.00,"31099533007 RESTAURANT
MK KARAOKE LLC 00-08013953958
NEW YORK
NY
RESTAURANT",MK KARAOKE LLC 00-08NEW YORK            NY,"307 5TH AVE
FL 4","NEW YORK
NY",10016-6517,UNITED STATES,'320230080992609283',Restaurant-Restaurant
01/07/2023,UBER,18.99,"8S68XSG6   MHDUYUWO         10119
Uber Trip
help.uber.com
CA
MHDUYUWO         10119",Uber Trip           help.uber.com       CA,"1455 Market St 400
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320230070963875391',Transportation-Taxis & Coach
01/06/2023,MSG CONCESSIONS     NEW YORK            NY,57.16,"886680     9199992301062122210121
MSG CONCESSIONS
NEW YORK
NY
9199992301062122210121",MSG CONCESSIONS     NEW YORK            NY,"2 PENN PLZ
FL 15","NEW YORK
NY",10121-1703,UNITED STATES,'320230070969748982',Restaurant-Bar & Café
01/05/2023,DELTA AIR LINES     ATLANTA,5.00,"18002211212
MISCELLANEOUS TAX(S)/FEE(S)
DELTA AIR LINES
ATLANTA
Carrier : DELTA AIR LINES
Passenger Name : KUMAR/AVIRATH
Ticket Number : 00615425574595
Additional Info : MISCELLANEOUS TAX(S)/FEE(S)",DELTA AIR LINES     ATLANTA,1030 DELTA BLVD,"ATLANTA
GA",30354,UNITED STATES,'320230050931281027',Travel-Airline
01/05/2023,PEACOCK*4BE70 PREMIUNEW YORK CITY       NY,1.99,"US NBCU PG  CABLE & PAY TV
PEACOCK*4BE70 PREMIUM
NEW YORK CITY
NY",PEACOCK*4BE70 PREMIUNEW YORK CITY       NY,100 UNIVERSAL CITY PLZ,"UNIVERSAL CITY
CA",91608,UNITED STATES,'320230040911754303',Communications-Cable & Internet Comm
01/05/2023,UBER EATS           help.uber.com       CA,13.75,"6N1BA4CV   WBRNV3IK         94103
UBER EATS
help.uber.com
CA
WBRNV3IK         94103",UBER EATS           help.uber.com       CA,"1455 MARKET ST
-","SAN FRANCISCO
CA",94103,UNITED STATES,'320230060941293330',Restaurant-Restaurant
